id,genus
520,1.0
3800,1.0
3289,1.0
2695,1.0
4922,1.0
1934,1.0
3704,1.0
4017,1.0
3331,1.0
173,1.0
2983,1.0
116,1.0
4938,1.0
3524,1.0
346,1.0
631,1.0
3588,1.0
3321,1.0
2237,1.0
1180,1.0
1725,1.0
4067,1.0
2675,1.0
728,1.0
1815,1.0
1722,1.0
1377,1.0
432,1.0
1506,1.0
1705,1.0
4636,1.0
2574,1.0
1649,1.0
4868,1.0
4257,1.0
740,1.0
2110,1.0
4305,1.0
2151,1.0
689,1.0
1425,1.0
150,1.0
524,1.0
151,1.0
1066,1.0
571,1.0
3789,1.0
829,1.0
758,1.0
2442,1.0
4031,1.0
347,1.0
717,1.0
1086,1.0
1335,1.0
351,1.0
670,1.0
4307,1.0
2724,1.0
483,1.0
398,1.0
682,1.0
1800,1.0
1903,1.0
3251,1.0
4450,1.0
2713,1.0
506,1.0
2837,1.0
4674,1.0
4153,1.0
652,1.0
818,1.0
4943,1.0
3380,1.0
889,1.0
4466,1.0
1247,1.0
624,1.0
2095,1.0
2599,1.0
1983,1.0
4765,1.0
4749,1.0
4744,1.0
2895,1.0
4869,1.0
2396,1.0
3303,1.0
1101,1.0
2760,1.0
3216,1.0
2936,1.0
3356,1.0
4578,1.0
3495,1.0
4632,1.0
3845,1.0
4011,1.0
1902,1.0
830,1.0
4004,1.0
1331,1.0
1758,1.0
1478,1.0
1503,1.0
3350,1.0
822,1.0
452,1.0
4225,1.0
4833,1.0
256,1.0
4021,1.0
2632,1.0
58,1.0
4232,1.0
1320,1.0
2400,1.0
773,1.0
1318,1.0
1741,1.0
3338,1.0
1898,1.0
467,1.0
2503,1.0
326,1.0
1206,1.0
2335,1.0
705,1.0
3970,1.0
2889,1.0
2397,1.0
960,1.0
1321,1.0
1596,1.0
3874,1.0
2710,1.0
2044,1.0
2090,1.0
1632,1.0
251,1.0
1603,1.0
2246,1.0
1152,1.0
1440,1.0
2392,1.0
3067,1.0
2066,1.0
4810,1.0
2917,1.0
2370,1.0
3745,1.0
395,1.0
2578,1.0
1585,1.0
65,1.0
4062,1.0
1479,1.0
4019,1.0
2485,1.0
3489,1.0
859,1.0
2830,1.0
479,1.0
902,1.0
2466,1.0
3834,1.0
2232,1.0
4565,1.0
4927,1.0
2944,1.0
1978,1.0
4724,1.0
3738,1.0
275,1.0
472,1.0
1397,1.0
3879,1.0
3217,1.0
231,1.0
4360,1.0
272,1.0
3368,1.0
3656,1.0
2329,1.0
4236,1.0
1187,1.0
940,1.0
3345,1.0
935,1.0
3802,1.0
1578,1.0
33,1.0
20,1.0
384,1.0
4258,1.0
2829,1.0
2618,1.0
3166,1.0
844,1.0
2673,1.0
3457,1.0
389,1.0
4085,1.0
1668,1.0
4566,1.0
2600,1.0
1680,1.0
972,1.0
3595,1.0
3377,1.0
358,1.0
1661,1.0
3561,1.0
1522,1.0
1255,1.0
1743,1.0
4876,1.0
4111,1.0
1600,1.0
1428,1.0
3285,1.0
565,1.0
1636,1.0
4777,1.0
4569,1.0
1361,1.0
2857,1.0
4123,1.0
2692,1.0
3639,1.0
3241,1.0
495,1.0
4363,1.0
1069,1.0
3182,1.0
3196,1.0
2530,1.0
4336,1.0
2588,1.0
364,1.0
4844,1.0
3727,1.0
4402,1.0
4168,1.0
4235,1.0
4452,1.0
1499,1.0
2141,1.0
2196,1.0
3604,0.0
3963,0.0
4184,0.0
408,0.0
3665,0.0
2194,0.0
130,0.0
92,0.0
181,0.0
4947,0.0
2512,0.0
1369,0.0
3121,0.0
2780,0.0
123,0.0
2656,0.0
4582,0.0
4914,0.0
4315,0.0
1054,0.0
4368,0.0
4394,0.0
2784,0.0
3106,0.0
2910,0.0
3548,0.0
3998,0.0
3179,0.0
3662,0.0
500,0.0
2773,0.0
2949,0.0
544,0.0
3086,0.0
2168,0.0
2753,0.0
1482,0.0
3146,0.0
496,0.0
3911,0.0
4487,0.0
898,0.0
140,0.0
2683,0.0
2182,0.0
2333,0.0
4795,0.0
3690,0.0
2495,0.0
913,0.0
366,0.0
1261,0.0
3490,0.0
4109,0.0
1935,0.0
3201,0.0
2715,0.0
3366,0.0
4260,0.0
4324,0.0
2887,0.0
4386,0.0
3772,0.0
2149,0.0
1865,0.0
3336,0.0
1270,0.0
3286,0.0
4083,0.0
1924,0.0
3720,0.0
1151,0.0
1678,0.0
126,0.0
4570,0.0
2192,0.0
1304,0.0
1879,0.0
1672,0.0
3003,0.0
2162,0.0
3875,0.0
2975,0.0
2199,0.0
655,0.0
228,0.0
2449,0.0
4952,0.0
3901,0.0
1424,0.0
391,0.0
2363,0.0
991,0.0
4931,0.0
4283,0.0
698,0.0
3392,0.0
4449,0.0
1778,0.0
1751,0.0
269,0.0
3870,0.0
4231,0.0
2224,0.0
3897,0.0
3977,0.0
1711,0.0
1381,0.0
4809,0.0
3983,0.0
2722,0.0
2011,0.0
968,0.0
2043,0.0
4660,0.0
4049,0.0
3844,0.0
753,0.0
616,0.0
4378,0.0
4086,0.0
85,0.0
3052,0.0
2929,0.0
2243,0.0
926,0.0
3992,0.0
1036,0.0
858,0.0
837,0.0
2330,0.0
3308,0.0
3450,0.0
4104,0.0
87,0.0
3692,0.0
1966,0.0
3118,0.0
109,0.0
3763,0.0
4099,0.0
4774,0.0
1155,0.0
760,0.0
930,0.0
1175,0.0
874,0.0
3007,0.0
1344,0.0
270,0.0
2772,0.0
2558,0.0
3669,0.0
2845,0.0
3472,0.0
1715,0.0
2565,0.0
1976,0.0
3753,0.0
1176,0.0
1868,0.0
4317,0.0
2570,0.0
1590,0.0
3560,0.0
306,0.0
2622,0.0
3809,0.0
4548,0.0
1205,0.0
409,0.0
3214,0.0
3539,0.0
1504,0.0
4633,0.0
186,0.0
3307,0.0
3725,0.0
4036,0.0
1078,0.0
2643,0.0
381,0.0
2351,0.0
2002,0.0
4882,0.0
1939,0.0
1358,0.0
3078,0.0
1492,0.0
2679,0.0
779,0.0
265,0.0
3132,0.0
4535,0.0
2556,0.0
2521,0.0
2025,0.0
4616,0.0
478,0.0
3858,0.0
2657,0.0
1447,0.0
2323,0.0
365,0.0
1508,0.0
2455,0.0
195,0.0
3407,0.0
3021,0.0
3668,0.0
1123,0.0
1245,0.0
1343,0.0
3979,0.0
2239,0.0
2279,0.0
4418,0.0
1780,0.0
3728,0.0
1681,0.0
3229,0.0
2157,0.0
3926,0.0
3515,0.0
4645,0.0
1106,0.0
2851,0.0
630,0.0
938,0.0
2794,0.0
4612,0.0
3644,0.0
3001,0.0
3464,0.0
4618,0.0
2142,0.0
1087,0.0
2220,0.0
701,0.0
1279,0.0
134,0.0
3680,0.0
3987,0.0
2113,0.0
3015,0.0
650,0.0
3782,0.0
4026,0.0
1347,0.0
807,0.0
