Date,Amazon,Facebook
2016-01-04,636.98999,102.220001
2016-01-05,633.789978,102.730003
2016-01-06,632.650024,102.970001
2016-01-07,607.9400019999999,97.91999799999999
2016-01-08,607.049988,97.33000200000001
2016-01-11,617.73999,97.510002
2016-01-12,617.8900150000001,99.370003
2016-01-13,581.8099980000001,95.440002
2016-01-14,593.0,98.370003
2016-01-15,570.179993,94.970001
2016-01-19,574.47998,95.260002
2016-01-20,571.77002,94.349998
2016-01-21,575.02002,94.160004
2016-01-22,596.380005,97.940002
2016-01-25,596.530029,97.010002
2016-01-26,601.25,97.339996
2016-01-27,583.349976,94.449997
2016-01-28,635.349976,109.110001
2016-01-29,587.0,112.209999
2016-02-01,574.8099980000001,115.089996
2016-02-02,552.099976,114.610001
2016-02-03,531.070007,112.690002
2016-02-04,536.26001,110.489998
2016-02-05,502.130005,104.07
2016-02-08,488.10000599999995,99.75
2016-02-09,482.07000700000003,99.540001
2016-02-10,490.48001100000005,101.0
2016-02-11,503.82000700000003,101.910004
2016-02-12,507.079987,102.010002
2016-02-16,521.099976,101.610001
2016-02-17,534.099976,105.199997
2016-02-18,525.0,103.470001
2016-02-19,534.900024,104.57
2016-02-22,559.5,107.160004
2016-02-23,552.9400019999999,105.459999
2016-02-24,554.039978,106.879997
2016-02-25,555.150024,108.07
2016-02-26,555.22998,107.91999799999999
2016-02-29,552.52002,106.91999799999999
2016-03-01,579.039978,109.82
2016-03-02,580.210022,109.949997
2016-03-03,577.48999,109.58000200000001
2016-03-04,575.1400150000001,108.389999
2016-03-07,562.799988,105.730003
2016-03-08,560.26001,105.93
2016-03-09,559.469971,107.510002
2016-03-10,558.929993,107.32
2016-03-11,569.6099849999999,109.410004
2016-03-14,573.369995,109.889999
2016-03-15,577.02002,110.66999799999999
2016-03-16,574.27002,112.18
2016-03-17,559.4400019999999,111.019997
2016-03-18,552.080017,111.449997
2016-03-21,553.97998,111.849998
2016-03-22,560.47998,112.25
2016-03-23,569.630005,112.540001
2016-03-24,582.950012,113.050003
2016-03-28,579.869995,113.690002
2016-03-29,593.8599849999999,116.139999
2016-03-30,598.6900019999999,114.699997
2016-03-31,593.6400150000001,114.099998
2016-04-01,598.5,116.059998
2016-04-04,593.1900019999999,112.550003
2016-04-05,586.1400150000001,112.220001
2016-04-06,602.080017,113.709999
2016-04-07,591.429993,113.639999
2016-04-08,594.599976,110.629997
2016-04-11,595.929993,108.989998
2016-04-12,603.169983,110.610001
2016-04-13,614.820007,110.510002
2016-04-14,620.75,110.839996
2016-04-15,625.8900150000001,109.639999
2016-04-18,635.349976,110.449997
2016-04-19,627.900024,112.290001
2016-04-20,632.98999,112.41999799999999
2016-04-21,631.0,113.440002
2016-04-22,620.5,110.559998
2016-04-25,626.200012,110.099998
2016-04-26,616.880005,108.760002
2016-04-27,606.570007,108.889999
2016-04-28,602.0,116.730003
2016-04-29,659.590027,117.58000200000001
2016-05-02,683.849976,118.57
2016-05-03,671.320007,117.43
2016-05-04,670.900024,118.059998
2016-05-05,659.090027,117.809998
2016-05-06,673.950012,119.489998
2016-05-09,679.75,119.239998
2016-05-10,703.070007,120.5
2016-05-11,713.22998,119.519997
2016-05-12,717.929993,120.279999
2016-05-13,709.919983,119.809998
2016-05-16,710.659973,118.66999799999999
2016-05-17,695.27002,117.349998
2016-05-18,697.450012,117.650002
2016-05-19,698.52002,116.809998
2016-05-20,702.799988,117.349998
2016-05-23,696.75,115.970001
2016-05-24,704.200012,117.699997
2016-05-25,708.349976,117.889999
2016-05-26,714.909973,119.470001
2016-05-27,712.23999,119.379997
2016-05-31,722.789978,118.809998
2016-06-01,719.4400019999999,118.779999
2016-06-02,728.23999,118.93
2016-06-03,725.539978,118.470001
2016-06-06,726.72998,118.790001
2016-06-07,723.73999,117.760002
2016-06-08,726.6400150000001,118.389999
2016-06-09,727.650024,118.559998
2016-06-10,717.909973,116.620003
2016-06-13,715.23999,113.949997
2016-06-14,719.299988,114.940002
2016-06-15,714.26001,114.599998
2016-06-16,717.51001,114.389999
2016-06-17,706.3900150000001,113.019997
2016-06-20,714.01001,113.370003
2016-06-21,715.820007,114.379997
2016-06-22,710.599976,113.910004
2016-06-23,722.080017,115.08000200000001
2016-06-24,698.960022,112.08000200000001
2016-06-27,691.3599849999999,108.970001
2016-06-28,707.950012,112.699997
2016-06-29,715.599976,114.160004
2016-06-30,715.619995,114.279999
2016-07-01,725.679993,114.190002
2016-07-05,728.099976,114.199997
2016-07-06,737.6099849999999,116.699997
2016-07-07,736.570007,115.849998
2016-07-08,745.8099980000001,117.239998
2016-07-11,753.780029,117.870003
2016-07-12,748.210022,117.93
2016-07-13,742.630005,116.779999
2016-07-14,741.200012,117.290001
2016-07-15,735.4400019999999,116.860001
2016-07-18,736.070007,119.370003
2016-07-19,739.950012,120.610001
2016-07-20,745.719971,121.91999799999999
2016-07-21,744.429993,120.610001
2016-07-22,744.8599849999999,121.0
2016-07-25,739.6099849999999,121.629997
2016-07-26,735.590027,121.220001
2016-07-27,736.669983,123.339996
2016-07-28,752.6099849999999,125.0
2016-07-29,758.8099980000001,123.940002
2016-08-01,767.73999,124.309998
2016-08-02,760.580017,123.089996
2016-08-03,754.6400150000001,122.510002
2016-08-04,760.77002,124.360001
2016-08-05,765.97998,125.150002
2016-08-08,766.5599980000001,125.260002
2016-08-09,768.3099980000001,125.059998
2016-08-10,768.5599980000001,124.879997
2016-08-11,771.23999,124.900002
2016-08-12,772.5599980000001,124.879997
2016-08-15,768.48999,123.900002
2016-08-16,764.039978,123.300003
2016-08-17,764.630005,124.370003
2016-08-18,764.460022,123.910004
2016-08-19,757.3099980000001,123.559998
2016-08-22,759.47998,124.150002
2016-08-23,762.450012,124.370003
2016-08-24,757.25,123.480003
2016-08-25,759.219971,123.889999
2016-08-26,769.0,124.959999
2016-08-29,771.289978,126.540001
2016-08-30,767.580017,125.839996
2016-08-31,769.159973,126.120003
2016-09-01,770.619995,126.16999799999999
2016-09-02,772.4400019999999,126.510002
2016-09-06,788.869995,129.729996
2016-09-07,784.47998,131.050003
2016-09-08,784.0599980000001,130.270004
2016-09-09,760.1400150000001,127.099998
2016-09-12,771.48999,128.690002
2016-09-13,761.01001,127.209999
2016-09-14,761.090027,127.769997
