Death,X coordinate,Y coordinate
1,51.513418,-0.13793
1,51.513418,-0.13793
1,51.513418,-0.13793
1,51.513361,-0.137883
1,51.513361,-0.137883
1,51.513317,-0.137853
1,51.513262,-0.137812
1,51.513204,-0.137767
1,51.513204,-0.137767
1,51.513204,-0.137767
1,51.513204,-0.137767
1,51.513184,-0.137537
1,51.513184,-0.137537
1,51.513359,-0.1382
1,51.513359,-0.1382
1,51.513328,-0.138045
1,51.513328,-0.138045
1,51.513323,-0.138276
1,51.513323,-0.138276
1,51.513323,-0.138276
1,51.513427,-0.138223
1,51.513427,-0.138223
1,51.513381,-0.138337
1,51.513381,-0.138337
1,51.513462,-0.138563
1,51.513216,-0.138426
1,51.513216,-0.138426
1,51.513216,-0.138426
1,51.513169,-0.138378
1,51.513116,-0.138337
1,51.513116,-0.138337
1,51.513116,-0.138337
1,51.513116,-0.138337
1,51.51324,-0.138645
1,51.513164,-0.138698
1,51.513178,-0.137924
1,51.513111,-0.137865
1,51.513111,-0.137865
1,51.513111,-0.137865
1,51.513111,-0.137865
1,51.513055,-0.137811
1,51.513055,-0.137811
1,51.513055,-0.137811
1,51.513441,-0.138762
1,51.513441,-0.138762
1,51.513592,-0.138799
1,51.513402,-0.139045
1,51.513402,-0.139045
1,51.51338,-0.13897
1,51.51338,-0.13897
1,51.513411,-0.138863
1,51.513411,-0.138863
1,51.513641,-0.138752
1,51.513693,-0.138808
1,51.513745,-0.138856
1,51.513745,-0.138856
1,51.513745,-0.138856
1,51.513676,-0.138887
1,51.51359,-0.139239
1,51.513663,-0.139321
1,51.513502,-0.139316
1,51.513583,-0.139616
1,51.513583,-0.139616
1,51.513541,-0.139719
1,51.513541,-0.139719
1,51.513298,-0.140074
1,51.513291,-0.139094
1,51.513013,-0.139697
1,51.512965,-0.139327
1,51.512893,-0.139317
1,51.512893,-0.139317
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.512964,-0.139187
1,51.513025,-0.139036
1,51.513025,-0.139036
1,51.513027,-0.139209
1,51.512831,-0.138427
1,51.512885,-0.138624
1,51.512526,-0.138096
1,51.512465,-0.138035
1,51.512428,-0.137984
1,51.512428,-0.137984
1,51.512428,-0.137984
1,51.512428,-0.137984
1,51.512415,-0.138065
1,51.51251,-0.138194
1,51.512378,-0.137818
1,51.512447,-0.137656
1,51.512491,-0.137584
1,51.512491,-0.137584
1,51.512491,-0.137584
1,51.512491,-0.137584
1,51.512374,-0.13765
1,51.512339,-0.13745
1,51.512364,-0.137376
1,51.512319,-0.137327
1,51.51254,-0.13698
1,51.512649,-0.13718
1,51.512649,-0.13718
1,51.512692,-0.137052
1,51.512957,-0.137695
1,51.512765,-0.137533
1,51.51278,-0.137419
1,51.51278,-0.137419
1,51.512726,-0.137368
1,51.512681,-0.137325
1,51.512914,-0.137531
1,51.512914,-0.137531
1,51.513046,-0.137562
1,51.513046,-0.137562
1,51.513074,-0.137466
1,51.513087,-0.137386
1,51.513087,-0.137386
1,51.513122,-0.137306
1,51.513122,-0.137306
1,51.513122,-0.137306
1,51.513187,-0.137089
1,51.513214,-0.136996
1,51.513214,-0.136996
1,51.513214,-0.136996
1,51.513214,-0.136996
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513249,-0.136859
1,51.513271,-0.136778
1,51.513271,-0.136778
1,51.513271,-0.136778
1,51.5133,-0.136705
1,51.5133,-0.136705
1,51.5133,-0.136705
1,51.5133,-0.136705
1,51.51316,-0.136493
1,51.51316,-0.136493
1,51.51316,-0.136493
1,51.51316,-0.136493
1,51.51316,-0.136493
1,51.513016,-0.13633
1,51.513016,-0.13633
1,51.512921,-0.136424
1,51.51289,-0.136523
1,51.51289,-0.136523
1,51.512859,-0.136599
1,51.51283,-0.136699
1,51.512782,-0.136819
1,51.512729,-0.136973
1,51.512868,-0.136358
1,51.512723,-0.13663
1,51.512654,-0.136584
1,51.512713,-0.136423
1,51.512615,-0.136345
1,51.512491,-0.136437
1,51.512449,-0.136377
1,51.512465,-0.136197
1,51.512413,-0.136142
1,51.512358,-0.136102
1,51.512358,-0.136102
1,51.512271,-0.13603
1,51.512355,-0.13631
1,51.511991,-0.13594
1,51.511991,-0.13594
1,51.511991,-0.13594
1,51.511991,-0.13594
1,51.512083,-0.135858
1,51.512083,-0.135858
1,51.512031,-0.1358
1,51.51197,-0.135717
1,51.51197,-0.135717
1,51.51197,-0.135717
1,51.51197,-0.135717
1,51.511882,-0.135119
1,51.511882,-0.135119
1,51.511882,-0.135119
1,51.511882,-0.135119
1,51.51205,-0.135144
1,51.51225,-0.135394
