,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
0,9007640000.0,16723525.0,bitcoin,1512549554,213049346738.0,21000000.0,Bitcoin,0.12,7.33,17.45,1.0,12739.5,1,BTC,16723525.0
1,1551330000.0,96165368.0,ethereum,1512549553,43529446198.0,,Ethereum,-0.18,-3.93,-7.33,0.0361767,452.652,2,ETH,96165368.0
2,1111350000.0,16840438.0,bitcoin-cash,1512549578,25295852764.0,21000000.0,Bitcoin Cash,1.65,-5.51,-4.75,0.12005,1502.09,3,BCH,16840438.0
3,2936090000.0,2779530283.0,iota,1512549571,14752245796.0,2779530283.0,IOTA,-2.38,83.35,255.82,0.00042418,5.30746,4,MIOTA,2779530283.0
4,231505000.0,38739145009.0,ripple,1512549541,9365343263.0,100000000000.0,Ripple,0.56,-3.7,-14.79,1.932e-05,0.241754,5,XRP,99993093880.0
5,228943000.0,7736420.0,dash,1512549542,5794075569.0,18900000.0,Dash,1.22,-3.31,10.64,0.0598561,748.935,6,DASH,7736420.0
6,409342000.0,54153908.0,litecoin,1512549542,5634497528.0,84000000.0,Litecoin,-0.17,0.8,3.68,0.00831553,104.046,7,LTC,54153908.0
7,138407000.0,16690974.0,bitcoin-gold,1512549582,4920065049.0,21000000.0,Bitcoin Gold,-0.86,-8.65,-11.24,0.0235588,294.774,8,BTG,16790974.0
8,549860000.0,15442957.0,monero,1512549544,4331687542.0,,Monero,-2.0,25.65,41.23,0.0224177,280.496,9,XMR,15442957.0
9,61647500.0,25927070538.0,cardano,1512549579,3231420437.0,45000000000.0,Cardano,-0.28,-5.8,-8.25,9.96e-06,0.124635,10,ADA,31112483745.0
10,402067000.0,98125659.0,ethereum-classic,1512549556,2866554689.0,,Ethereum Classic,-0.2,-3.47,-7.7,0.00233476,29.2131,11,ETC,98125659.0
11,31728500.0,8999999999.0,nem,1512549559,2583927000.0,,NEM,-0.7,-0.39,14.56,2.295e-05,0.287103,12,XEM,8999999999.0
12,249048000.0,519959119.0,eos,1512549570,2567610124.0,,EOS,2.26,29.56,69.66,0.00039466,4.9381,13,EOS,1000000000.0
13,113352000.0,65000000.0,neo,1512549558,2452898500.0,,NEO,1.24,-7.28,0.2,0.003016,37.7369,14,NEO,100000000.0
14,257838000.0,17833877881.0,stellar,1512549549,2407074165.0,,Stellar Lumens,-2.71,39.48,51.09,1.079e-05,0.134972,15,XLM,103491574319.0
15,125744000.0,55817225.0,monacoin,1512549544,1119570733.0,,MonaCoin,17.1,109.98,251.44,0.00160305,20.0578,16,MONA,55817225.0
16,24598100.0,3185692.0,bitconnect,1512549562,1106524562.0,28000000.0,BitConnect,0.49,3.7,15.49,0.0277602,347.342,17,BCC,8392580.0
17,69659800.0,115641028.0,lisk,1512549553,1046840406.0,,Lisk,1.06,-2.52,15.79,0.00072349,9.0525,18,LSK,115641028.0
18,189601000.0,2774181.0,zcash,1512549559,980259719.0,,Zcash,-0.99,9.0,-2.2,0.0282404,353.351,19,ZEC,2774181.0
19,60038600.0,102042552.0,omisego,1512549572,957831596.0,,OmiseGO,-0.72,-8.06,3.93,0.00075019,9.38659,20,OMG,140245398.0
20,142122000.0,73696328.0,qtum,1512549568,914799889.0,,Qtum,0.36,-9.85,-16.12,0.00099208,12.4131,21,QTUM,100196328.0
21,1084790000.0,814017348.0,tether,1512549549,815059290.0,,Tether,0.17,-0.07,-0.06,8.002e-05,1.00128,22,USDT,844999482.0
